Date,Product_Name,Category,Region,Quantity,Unit_Price,Total_Sales,Customer_ID
2026-01-01,Laptop Pro,Electronics,North,5,1200,6000,C001
2026-01-01,USB Cable,Accessories,South,15,5,75,C002
2026-01-01,Wireless Mouse,Electronics,East,8,25,200,C003
2026-01-02,Office Chair,Furniture,West,3,300,900,C004
2026-01-02,Desk Lamp,Furniture,North,12,45,540,C005
2026-01-03,Monitor 27inch,Electronics,South,4,350,1400,C006
2026-01-03,Keyboard Mechanical,Electronics,East,10,80,800,C007
2026-01-04,Laptop Pro,Electronics,North,6,1200,7200,C008
2026-01-04,Phone Stand,Accessories,West,20,15,300,C009
2026-01-05,Headphones,Electronics,South,9,120,1080,C010
2026-01-05,USB Hub,Accessories,East,25,30,750,C011
2026-01-06,Monitor 27inch,Electronics,North,3,350,1050,C012
2026-01-06,Office Chair,Furniture,West,5,300,1500,C013
2026-01-07,Wireless Mouse,Electronics,South,12,25,300,C014
2026-01-07,Desk Lamp,Furniture,East,8,45,360,C015
2026-01-08,Laptop Pro,Electronics,West,4,1200,4800,C016
2026-01-08,Phone Stand,Accessories,North,18,15,270,C017
2026-01-09,Keyboard Mechanical,Electronics,South,7,80,560,C018
2026-01-09,USB Cable,Accessories,East,30,5,150,C019
2026-01-10,Headphones,Electronics,North,6,120,720,C020
2026-01-10,Desk Lamp,Furniture,West,10,45,450,C021
2026-01-11,Monitor 27inch,Electronics,South,5,350,1750,C022
2026-01-11,Office Chair,Furniture,East,4,300,1200,C023
2026-01-12,Wireless Mouse,Electronics,West,15,25,375,C024
2026-01-12,USB Hub,Accessories,North,28,30,840,C025
2026-01-13,Laptop Pro,Electronics,East,3,1200,3600,C026
2026-01-13,Phone Stand,Accessories,South,22,15,330,C027
2026-01-14,Keyboard Mechanical,Electronics,North,9,80,720,C028
2026-01-14,Headphones,Electronics,West,8,120,960,C029
2026-01-15,Monitor 27inch,Electronics,South,4,350,1400,C030
2026-01-15,Desk Lamp,Furniture,East,11,45,495,C031
2026-01-16,Office Chair,Furniture,North,6,300,1800,C032
2026-01-16,USB Cable,Accessories,West,35,5,175,C033
2026-01-17,Wireless Mouse,Electronics,South,10,25,250,C034
2026-01-17,USB Hub,Accessories,East,26,30,780,C035
2026-01-18,Laptop Pro,Electronics,North,5,1200,6000,C036
2026-01-18,Phone Stand,Accessories,West,19,15,285,C037
2026-01-19,Keyboard Mechanical,Electronics,South,8,80,640,C038
2026-01-19,Headphones,Electronics,East,7,120,840,C039
2026-01-20,Monitor 27inch,Electronics,West,3,350,1050,C040
2026-02-01,Office Chair,Furniture,North,4,300,1200,C041
2026-02-01,Desk Lamp,Furniture,South,9,45,405,C042
2026-02-02,Laptop Pro,Electronics,East,7,1200,8400,C043
2026-02-02,USB Cable,Accessories,West,40,5,200,C044
2026-02-03,Wireless Mouse,Electronics,North,14,25,350,C045
2026-02-03,Headphones,Electronics,South,10,120,1200,C046
2026-02-04,Monitor 27inch,Electronics,East,6,350,2100,C047
2026-02-04,USB Hub,Accessories,West,32,30,960,C048
2026-02-05,Keyboard Mechanical,Electronics,North,11,80,880,C049
2026-02-05,Phone Stand,Accessories,South,24,15,360,C050
